location,province,area_sqm,bedrooms,bathrooms,price_php,price_per_sqm_php,property_type,distance_to_beach_km,tourism_density_score,infrastructure_score,employment_zone_score,flood_risk_score,cultural_premium_factor,quarter,year
Iloilo Business Park - Megaworld,Iloilo,163,3,2,11416667.0,70041.0,Condo,15.0,5.5,9.2,9.5,0.05,0.08,Q1,2025
San Juan - Surf Town,La Union,72,1,2,2899000.0,40264.0,Condo,0.5,8.8,6.8,4.0,0.18,0.08,Q2,2023
Jaro - Residential,Iloilo,150,3,2,5755000.0,38364.0,House,14.0,3.5,7.0,6.5,0.15,0.03,Q2,2024
Bauang - Coastal,La Union,60,1,1,2378000.0,39634.0,Condo,1.0,6.5,6.2,4.0,0.25,0.04,Q4,2023
Jaro - Residential,Iloilo,30,1,1,1345000.0,44850.0,Condo,14.0,3.5,7.0,6.5,0.15,0.03,Q3,2024
Bauang - Inland,La Union,60,1,2,1418000.0,23632.0,House,4.0,4.5,5.5,4.0,0.1,0.01,Q3,2024
Mandurriao - CBD Fringe,Iloilo,42,1,1,2405000.0,57251.0,House,12.0,4.5,8.5,8.0,0.1,0.04,Q3,2024
Diversion Road Corridor,Iloilo,30,1,2,1795000.0,59835.0,House,11.0,4.0,8.0,7.5,0.12,0.03,Q2,2023
Bauang - Inland,La Union,42,1,2,885000.0,21083.0,Townhouse,4.0,4.5,5.5,4.0,0.1,0.01,Q2,2023
Iloilo Business Park - Megaworld,Iloilo,72,1,2,5326000.0,73978.0,Condo,15.0,5.5,9.2,9.5,0.05,0.08,Q4,2024
Molo - Heritage District,Iloilo,85,1,1,3320000.0,39064.0,Townhouse,5.0,5.0,6.5,5.8,0.2,0.05,Q4,2023
Bauang - Inland,La Union,120,2,2,2890000.0,24084.0,House,4.0,4.5,5.5,4.0,0.1,0.01,Q1,2023
San Juan - Beach District,La Union,180,5,4,9147000.0,50816.0,Condo,0.2,9.2,7.0,4.0,0.15,0.1,Q4,2023
Bauang - Inland,La Union,42,1,1,1019000.0,24270.0,Condo,4.0,4.5,5.5,4.0,0.1,0.01,Q1,2023
Bauang - Coastal,La Union,30,1,2,901000.0,30020.0,House,1.0,6.5,6.2,4.0,0.25,0.04,Q4,2023
Bauang - Coastal,La Union,50,1,1,1779000.0,35582.0,House,1.0,6.5,6.2,4.0,0.25,0.04,Q4,2023
Molo - Heritage District,Iloilo,50,2,3,2541000.0,50817.0,Condo,5.0,5.0,6.5,5.8,0.2,0.05,Q4,2023
San Juan - Beach District,La Union,120,3,3,5583000.0,46527.0,Townhouse,0.2,9.2,7.0,4.0,0.15,0.1,Q4,2024
Jaro - Residential,Iloilo,30,1,1,1368000.0,45600.0,Condo,14.0,3.5,7.0,6.5,0.15,0.03,Q4,2023
Bauang - Inland,La Union,60,1,2,1290000.0,21503.0,House,4.0,4.5,5.5,4.0,0.1,0.01,Q1,2023
Bauang - Coastal,La Union,180,4,5,6958000.0,38655.0,House,1.0,6.5,6.2,4.0,0.25,0.04,Q3,2023
San Fernando City,La Union,85,3,2,2300000.0,27059.0,Townhouse,5.0,5.2,7.2,4.0,0.12,0.02,Q3,2024
Bauang - Coastal,La Union,72,2,2,2796000.0,38832.0,Townhouse,1.0,6.5,6.2,4.0,0.25,0.04,Q4,2024
Jaro - Residential,Iloilo,85,2,3,4094000.0,48163.0,Townhouse,14.0,3.5,7.0,6.5,0.15,0.03,Q2,2024
San Juan - Surf Town,La Union,72,3,4,3267000.0,45370.0,Townhouse,0.5,8.8,6.8,4.0,0.18,0.08,Q2,2024
