location,province,area_sqm,bedrooms,bathrooms,price_php,price_per_sqm_php,property_type,distance_to_beach_km,tourism_density_score,infrastructure_score,employment_zone_score,flood_risk_score,cultural_premium_factor,quarter,year
Orchard - Core CBD,Central,171.0,3,3,21182967.0,123877.0,House,10.98,8.3,9.8,9.8,0.03,0.2,Q2,2024
Orchard - Core CBD,Central,264.0,4,4,34117512.0,129233.0,Condo,11.99,8.7,9.8,9.8,0.066,0.2,Q2,2025
Orchard - Core CBD,Central,52.0,1,1,5606484.0,107817.0,House,12.05,8.0,9.8,9.8,0.299,0.2,Q1,2024
Orchard - Core CBD,Central,36.0,3,2,3482460.0,96735.0,Townhouse,11.58,8.0,9.8,9.8,0.433,0.2,Q2,2024
Orchard - Core CBD,Central,152.0,4,3,16528480.0,108740.0,Townhouse,12.59,9.5,9.8,9.8,0.351,0.2,Q4,2025
Orchard - Core CBD,Central,268.0,3,3,30575048.0,114086.0,House,12.54,8.6,9.8,9.8,0.411,0.2,Q4,2025
Orchard - Core CBD,Central,158.0,3,3,18201442.0,115199.0,Condo,11.95,8.5,9.8,9.8,0.118,0.2,Q4,2025
Orchard - Core CBD,Central,29.0,2,1,3373222.0,116318.0,Townhouse,12.32,8.4,9.8,9.8,0.129,0.2,Q3,2024
Orchard - Core CBD,Central,51.0,5,5,5796966.0,113666.0,House,12.64,9.2,9.8,9.8,0.17,0.2,Q3,2025
Orchard - Core CBD,Central,120.0,2,2,13605960.0,113383.0,Townhouse,11.61,8.3,9.8,9.8,0.216,0.2,Q3,2025
Orchard - Core CBD,Central,133.0,2,1,14592095.0,109715.0,House,11.61,8.3,9.8,9.8,0.258,0.2,Q3,2024
Orchard - Core CBD,Central,205.0,3,2,23347245.0,113889.0,House,11.16,8.8,9.8,9.8,0.367,0.2,Q3,2025
Orchard - Core CBD,Central,239.0,3,2,30031545.0,125655.0,Condo,12.05,9.4,9.8,9.8,0.116,0.2,Q4,2024
Orchard - Core CBD,Central,143.0,2,2,17156139.0,119973.0,Condo,11.49,8.9,9.8,9.8,0.289,0.2,Q4,2025
Orchard - Core CBD,Central,245.0,1,1,27528690.0,112362.0,Condo,11.64,7.8,9.8,9.8,0.339,0.2,Q2,2025
Orchard - Core CBD,Central,268.0,3,3,34840000.0,130000.0,House,12.14,7.7,9.8,9.8,0.138,0.2,Q4,2024
Orchard - Core CBD,Central,98.0,2,2,10004036.0,102082.0,Condo,11.75,8.0,9.8,9.8,0.38,0.2,Q4,2024
Orchard - Core CBD,Central,51.0,2,1,6045285.0,118535.0,Condo,11.7,8.5,9.8,9.8,0.051,0.2,Q4,2024
Orchard - Core CBD,Central,246.0,2,1,30298344.0,123164.0,Condo,12.02,8.1,9.8,9.8,0.103,0.2,Q3,2025
Orchard - Core CBD,Central,264.0,2,2,31044552.0,117593.0,Lot,11.74,8.4,9.8,9.8,0.281,0.2,Q3,2024
Orchard - Core CBD,Central,109.0,3,2,12275907.0,112623.0,Condo,11.87,8.9,9.8,9.8,0.349,0.2,Q1,2025
Orchard - Core CBD,Central,63.0,2,2,6647949.0,105523.0,Condo,11.33,7.6,9.8,9.8,0.374,0.2,Q2,2025
Orchard - Core CBD,Central,128.0,2,2,15794944.0,123398.0,House,12.13,9.2,9.8,9.8,0.042,0.2,Q2,2024
Orchard - Core CBD,Central,126.0,3,3,13590486.0,107861.0,Condo,11.92,8.2,9.8,9.8,0.385,0.2,Q2,2024
Orchard - Core CBD,Central,92.0,2,1,9242596.0,100463.0,House,12.14,7.3,9.8,9.8,0.425,0.2,Q1,2025
Orchard - Core CBD,Central,78.0,2,2,7885644.0,101098.0,House,12.45,7.7,9.8,9.8,0.375,0.2,Q3,2024
Orchard - Core CBD,Central,155.0,1,1,16275775.0,105005.0,Lot,11.95,8.9,9.8,9.8,0.322,0.2,Q2,2025
Orchard - Core CBD,Central,65.0,1,1,6426940.0,98876.0,House,12.04,8.0,9.8,9.8,0.413,0.2,Q1,2025
Orchard - Core CBD,Central,75.0,2,1,7876875.0,105025.0,House,12.35,9.7,9.8,9.8,0.389,0.2,Q1,2024
Orchard - Core CBD,Central,190.0,2,1,21893320.0,115228.0,Townhouse,11.9,8.8,9.8,9.8,0.248,0.2,Q4,2024
Orchard - Core CBD,Central,103.0,2,1,11165097.0,108399.0,House,11.88,7.9,9.8,9.8,0.34,0.2,Q1,2025
Orchard - Core CBD,Central,200.0,1,1,25614400.0,128072.0,Townhouse,12.12,8.3,9.8,9.8,0.062,0.2,Q1,2024
Orchard - Core CBD,Central,172.0,2,2,17963336.0,104438.0,House,12.27,9.3,9.8,9.8,0.382,0.2,Q3,2025
Orchard - Core CBD,Central,155.0,2,1,18147555.0,117081.0,Condo,11.52,9.6,9.8,9.8,0.245,0.2,Q1,2025
Orchard - Core CBD,Central,219.0,2,2,26503599.0,121021.0,Lot,11.89,8.2,9.8,9.8,0.162,0.2,Q3,2024
Orchard - Core CBD,Central,158.0,2,2,19400346.0,122787.0,Condo,12.25,8.7,9.8,9.8,0.093,0.2,Q3,2025
Orchard - Core CBD,Central,89.0,2,1,9193344.0,103296.0,Condo,12.37,8.3,9.8,9.8,0.443,0.2,Q3,2025
Orchard - Core CBD,Central,131.0,5,5,15901173.0,121383.0,Condo,11.9,9.6,9.8,9.8,0.086,0.2,Q1,2025
Orchard - Core CBD,Central,226.0,3,3,24432634.0,108109.0,House,12.02,9.2,9.8,9.8,0.422,0.2,Q1,2024
Orchard - Core CBD,Central,253.0,1,1,30014149.0,118633.0,Condo,12.4,8.7,9.8,9.8,0.294,0.2,Q3,2025
Orchard - Core CBD,Central,39.0,3,3,4448340.0,114060.0,Condo,12.23,8.5,9.8,9.8,0.11,0.2,Q3,2025
Orchard - Core CBD,Central,32.0,3,3,3893600.0,121675.0,Condo,12.55,8.5,9.8,9.8,0.043,0.2,Q4,2024
Orchard - Core CBD,Central,51.0,2,1,5247390.0,102890.0,Lot,12.05,8.0,9.8,9.8,0.348,0.2,Q2,2024
Orchard - Core CBD,Central,94.0,1,1,10650388.0,113302.0,House,11.9,8.1,9.8,9.8,0.144,0.2,Q4,2024
Orchard - Core CBD,Central,277.0,2,2,32170503.0,116139.0,Townhouse,12.11,7.9,9.8,9.8,0.235,0.2,Q4,2024
Orchard - Core CBD,Central,185.0,2,2,19703425.0,106505.0,Condo,11.87,8.0,9.8,9.8,0.336,0.2,Q3,2025
Orchard - Core CBD,Central,78.0,2,2,9706008.0,124436.0,House,12.09,8.4,9.8,9.8,0.105,0.2,Q2,2025
Orchard - Core CBD,Central,234.0,2,2,29257020.0,125030.0,House,11.81,7.9,9.8,9.8,0.103,0.2,Q1,2025
Orchard - Core CBD,Central,126.0,4,3,14025564.0,111314.0,Condo,12.31,8.2,9.8,9.8,0.243,0.2,Q4,2024
Orchard - Core CBD,Central,247.0,3,2,30898712.0,125096.0,House,12.59,9.1,9.8,9.8,0.124,0.2,Q2,2024
Orchard - Core CBD,Central,133.0,4,3,13741427.0,103319.0,Condo,11.48,8.4,9.8,9.8,0.391,0.2,Q1,2025
Orchard - Core CBD,Central,138.0,2,1,17043552.0,123504.0,House,12.25,8.9,9.8,9.8,0.169,0.2,Q2,2024
Orchard - Core CBD,Central,232.0,4,3,26686264.0,115027.0,Condo,11.96,8.3,9.8,9.8,0.278,0.2,Q3,2025
Orchard - Core CBD,Central,29.0,1,1,2948575.0,101675.0,House,12.29,8.8,9.8,9.8,0.279,0.2,Q4,2025
Orchard - Core CBD,Central,262.0,5,5,29671238.0,113249.0,Townhouse,11.53,8.8,9.8,9.8,0.298,0.2,Q1,2024
Orchard - Core CBD,Central,129.0,2,1,15759156.0,122164.0,Condo,12.04,10.0,9.8,9.8,0.075,0.2,Q3,2024
Orchard - Core CBD,Central,66.0,1,1,7591386.0,115021.0,House,12.23,9.5,9.8,9.8,0.066,0.2,Q1,2024
Orchard - Core CBD,Central,198.0,2,1,20803068.0,105066.0,Condo,12.66,8.0,9.8,9.8,0.417,0.2,Q4,2025
Orchard - Core CBD,Central,158.0,1,1,17463424.0,110528.0,House,11.54,8.7,9.8,9.8,0.271,0.2,Q1,2025
