location,province,area_sqm,bedrooms,bathrooms,price_php,price_per_sqm_php,property_type,distance_to_beach_km,tourism_density_score,infrastructure_score,employment_zone_score,flood_risk_score,cultural_premium_factor,quarter,year
Bauang - Coastal,La Union,217.0,4,3,8927163.0,41139.0,Condo,0.36,5.9,6.2,4.0,0.353,0.1675,Q4,2025
Bauang - Coastal,La Union,158.0,3,2,6290138.0,39811.0,Lot,0.68,6.4,6.2,4.0,0.209,0.1339,Q3,2025
Bauang - Coastal,La Union,144.0,5,5,5249952.0,36458.0,Townhouse,1.18,7.0,6.2,4.0,0.389,0.1109,Q2,2024
Bauang - Coastal,La Union,66.0,3,2,1930368.0,29248.0,Townhouse,1.21,6.8,6.2,4.0,0.32,0.1348,Q2,2025
Bauang - Coastal,La Union,206.0,4,3,8439408.0,40968.0,Condo,1.11,6.3,6.2,4.0,0.06,0.0792,Q3,2024
Bauang - Coastal,La Union,67.0,1,1,2023333.0,30199.0,Condo,0.43,6.4,6.2,4.0,0.44,0.1708,Q4,2025
Bauang - Coastal,La Union,131.0,3,3,4541639.0,34669.0,House,0.08,5.7,6.2,4.0,0.347,0.1242,Q1,2024
Bauang - Coastal,La Union,238.0,2,1,9718968.0,40836.0,Condo,1.02,6.4,6.2,4.0,0.358,0.1536,Q3,2025
Bauang - Coastal,La Union,259.0,3,2,11285148.0,43572.0,Lot,0.81,6.3,6.2,4.0,0.075,0.0851,Q4,2024
Bauang - Coastal,La Union,277.0,3,3,12120412.0,43756.0,Condo,1.18,6.6,6.2,4.0,0.214,0.1246,Q2,2024
Bauang - Coastal,La Union,269.0,5,4,11848643.0,44047.0,House,1.28,6.2,6.2,4.0,0.179,0.125,Q2,2025
Bauang - Coastal,La Union,166.0,5,5,6740264.0,40604.0,Townhouse,1.06,6.8,6.2,4.0,0.419,0.1688,Q4,2025
Bauang - Coastal,La Union,76.0,2,2,2766856.0,36406.0,Condo,1.3,7.1,6.2,4.0,0.297,0.1329,Q1,2024
Bauang - Coastal,La Union,238.0,3,2,9315558.0,39141.0,Condo,1.09,6.6,6.2,4.0,0.374,0.1233,Q2,2025
Bauang - Coastal,La Union,229.0,3,3,9499836.0,41484.0,House,1.21,6.7,6.2,4.0,0.211,0.1031,Q2,2025
Bauang - Coastal,La Union,277.0,2,2,12509597.0,45161.0,House,0.72,6.5,6.2,4.0,0.118,0.1094,Q4,2024
Bauang - Coastal,La Union,190.0,1,1,7085670.0,37293.0,Condo,0.93,6.5,6.2,4.0,0.258,0.128,Q1,2024
Bauang - Coastal,La Union,61.0,1,1,2281949.0,37409.0,House,1.08,6.1,6.2,4.0,0.047,0.12,Q2,2024
Bauang - Coastal,La Union,153.0,3,2,4925988.0,32196.0,Lot,1.33,6.7,6.2,4.0,0.376,0.0791,Q1,2025
Bauang - Coastal,La Union,139.0,2,1,5261567.0,37853.0,House,0.84,6.4,6.2,4.0,0.292,0.1579,Q4,2024
Bauang - Coastal,La Union,239.0,5,5,9601108.0,40172.0,Condo,1.21,7.8,6.2,4.0,0.346,0.1647,Q3,2024
Bauang - Coastal,La Union,125.0,2,2,4562750.0,36502.0,Condo,0.89,7.4,6.2,4.0,0.172,0.0907,Q2,2025
Bauang - Coastal,La Union,108.0,5,4,3510864.0,32508.0,Condo,0.95,6.7,6.2,4.0,0.437,0.1312,Q2,2025
Bauang - Coastal,La Union,45.0,2,1,1269360.0,28208.0,Condo,1.33,6.0,6.2,4.0,0.404,0.0876,Q1,2025
Bauang - Coastal,La Union,238.0,3,3,9921506.0,41687.0,Condo,0.2,5.8,6.2,4.0,0.355,0.1428,Q4,2025
Bauang - Coastal,La Union,217.0,1,1,9211867.0,42451.0,House,0.48,7.2,6.2,4.0,0.104,0.1045,Q3,2025
Bauang - Coastal,La Union,35.0,3,3,1232945.0,35227.0,Condo,0.41,6.7,6.2,4.0,0.221,0.1415,Q2,2025
Bauang - Coastal,La Union,135.0,4,4,5715900.0,42340.0,Lot,0.07,6.8,6.2,4.0,0.039,0.1481,Q2,2025
Bauang - Coastal,La Union,147.0,4,3,6339669.0,43127.0,Condo,0.73,5.5,6.2,4.0,0.086,0.1522,Q3,2024
Bauang - Coastal,La Union,144.0,4,3,5042016.0,35014.0,Condo,1.3,7.1,6.2,4.0,0.314,0.0875,Q3,2024
Bauang - Coastal,La Union,259.0,1,1,10725708.0,41412.0,Townhouse,0.89,6.8,6.2,4.0,0.34,0.1666,Q2,2024
Bauang - Coastal,La Union,63.0,2,2,1758897.0,27919.0,Townhouse,1.08,5.8,6.2,4.0,0.436,0.0995,Q2,2025
Bauang - Coastal,La Union,103.0,1,1,3722111.0,36137.0,Condo,1.44,6.2,6.2,4.0,0.16,0.0807,Q3,2024
Bauang - Coastal,La Union,71.0,1,1,2601440.0,36640.0,Condo,1.53,6.7,6.2,4.0,0.179,0.1313,Q3,2024
Bauang - Coastal,La Union,87.0,3,2,3035517.0,34891.0,Condo,0.97,6.5,6.2,4.0,0.222,0.1133,Q3,2024
Bauang - Coastal,La Union,256.0,3,2,12751872.0,49812.0,House,1.54,6.3,6.2,4.0,0.101,0.1582,Q1,2024
Bauang - Coastal,La Union,264.0,3,3,13245936.0,50174.0,House,1.04,6.4,6.2,4.0,0.076,0.1561,Q2,2024
Bauang - Coastal,La Union,36.0,4,3,1151352.0,31982.0,Condo,0.67,6.3,6.2,4.0,0.225,0.108,Q3,2025
Bauang - Coastal,La Union,186.0,3,3,8511360.0,45760.0,Condo,0.76,6.6,6.2,4.0,0.118,0.1702,Q4,2025
Bauang - Coastal,La Union,84.0,4,4,3043320.0,36230.0,House,0.41,7.4,6.2,4.0,0.308,0.1055,Q3,2024
Bauang - Coastal,La Union,74.0,1,1,2783214.0,37611.0,Lot,0.64,5.0,6.2,4.0,0.208,0.1274,Q2,2024
Bauang - Coastal,La Union,99.0,2,1,2978613.0,30087.0,House,0.86,6.4,6.2,4.0,0.378,0.102,Q3,2024
Bauang - Coastal,La Union,74.0,3,3,2445108.0,33042.0,House,1.32,6.6,6.2,4.0,0.321,0.1686,Q1,2025
Bauang - Coastal,La Union,150.0,4,4,6124050.0,40827.0,Condo,1.69,6.7,6.2,4.0,0.154,0.0931,Q1,2025
Bauang - Coastal,La Union,278.0,1,1,10746368.0,38656.0,Condo,0.45,6.3,6.2,4.0,0.378,0.0814,Q3,2024
Bauang - Coastal,La Union,174.0,3,3,5937750.0,34125.0,Condo,1.16,5.4,6.2,4.0,0.366,0.1196,Q4,2025
