location,province,area_sqm,bedrooms,bathrooms,price_php,price_per_sqm_php,property_type,distance_to_beach_km,tourism_density_score,infrastructure_score,employment_zone_score,flood_risk_score,cultural_premium_factor,quarter,year
Woodlands / Yishun,Singapore,90,2,3,43607000.0,484524.0,Condo,12.655967877938068,7.719210000451115,9.958472862294334,9.866000911568904,0.018713163534659603,0.04292636279125526,Q4,2024
Orchard / Marina Bay,Singapore,38,2,2,54293000.0,1428753.0,Condo,22.19188297546831,8.848687815279547,9.435133066781564,9.156631799756049,0.03953262926344862,0.028928076815760567,Q1,2024
Novena / Toa Payoh,Singapore,140,5,6,167184000.0,1194172.0,Landed,22.44299326845226,8.281398090080213,9.026576037972708,9.081012652762206,0.016085315016367962,0.03429203700914817,Q1,2023
Woodlands / Yishun,Singapore,120,3,2,66277000.0,552309.0,Landed,17.72737926868942,8.256410013892282,9.071978810263936,9.269793963535047,0.04253192249764142,0.023385996130287166,Q2,2024
Novena / Toa Payoh,Singapore,90,1,2,69312000.0,770130.0,HDB,3.1690487749144856,8.510159605138927,9.134897753627316,9.763697759710166,0.013516488357694216,0.016525492869115255,Q1,2024
Bukit Timah,Singapore,105,4,4,189788000.0,1807505.0,Landed,19.51156123587532,8.684761887482846,9.593312071881643,9.48466883501605,0.01858325083865875,0.014872888116962874,Q2,2023
Tampines / Bedok,Singapore,55,2,1,34089000.0,619797.0,HDB,2.456814879648065,7.011179197264853,9.765382004747847,9.900332807116369,0.011765999097204674,0.01349403863743945,Q2,2024
Bukit Timah,Singapore,140,3,4,227652000.0,1626086.0,Landed,18.015620943145958,8.807859946924717,9.500386416965279,9.549465897623358,0.019025128633745343,0.03819720578478237,Q4,2023
Bukit Timah,Singapore,140,3,3,236544000.0,1689600.0,Landed,24.71348763170964,8.277309412537594,9.635841961545355,9.523095074634023,0.030800911425783756,0.010483193350251946,Q2,2023
Orchard / Marina Bay,Singapore,55,1,1,108998000.0,1981775.0,Landed,15.762229943922193,8.714387827590162,9.331519439254006,9.641515730447875,0.02893719753275817,0.019381817793923284,Q1,2024
Woodlands / Yishun,Singapore,45,1,1,21411000.0,475799.0,Condo,16.359839499105686,8.761392239322733,9.208534385558849,9.705860424780077,0.018558423845172603,0.017600248336149402,Q1,2024
Jurong West,Singapore,105,4,4,56033000.0,533645.0,Condo,24.948552725393316,7.133984330932242,9.153595644029519,9.668367030535205,0.019791538838493106,0.026338719942238284,Q3,2024
Novena / Toa Payoh,Singapore,65,1,1,82806000.0,1273937.0,Landed,24.464000008287826,7.881256333178114,9.186956351200736,9.490325067672106,0.03487112281516008,0.04536616948653106,Q4,2024
Orchard / Marina Bay,Singapore,55,1,2,102298000.0,1859960.0,Landed,21.49221728777754,8.8663810453208,9.73781565599962,9.137782446223172,0.02315780658233432,0.04912463203249542,Q1,2023
Orchard / Marina Bay,Singapore,90,1,1,141267000.0,1569628.0,Condo,6.7381129744746655,7.689760493703065,9.553541029851678,9.433292030298121,0.018332063933133896,0.04433008972280247,Q1,2024
Tampines / Bedok,Singapore,140,5,6,104106000.0,743617.0,Condo,21.910493299973993,8.47585889348053,9.580087815951199,9.636677841454294,0.03389397320193816,0.045763467869559975,Q2,2024
Tampines / Bedok,Singapore,105,4,4,89690000.0,854191.0,Landed,12.254284366565795,8.522380407249912,9.066424813136855,9.716320040076283,0.04380097007879723,0.025194994886710294,Q1,2023
Bukit Timah,Singapore,45,2,2,76615000.0,1702557.0,Landed,8.852450445184786,8.31550765583979,9.813895892070146,9.882815033108985,0.021460463585279504,0.01020845690166509,Q1,2024
Novena / Toa Payoh,Singapore,105,2,1,82633000.0,786977.0,HDB,22.277761497349825,7.245192010252648,9.872491461690249,9.315800958390525,0.047580645955289415,0.0325551838800731,Q1,2024
Bukit Timah,Singapore,120,3,4,219642000.0,1830347.0,Landed,16.760302669296628,8.334012062650915,9.273384104044483,9.428848031469848,0.02641072406032048,0.03971536572599238,Q4,2024
Woodlands / Yishun,Singapore,38,1,2,19931000.0,524491.0,Condo,4.3034308886698325,7.761206312599115,9.496852958945421,9.191520171102075,0.02156409671137336,0.019429571554151266,Q1,2023
Novena / Toa Payoh,Singapore,65,1,2,50581000.0,778173.0,HDB,17.454314990690044,7.384118932159363,9.932454155971437,9.920920066948105,0.03375252991539471,0.022555199401477828,Q1,2024
Tampines / Bedok,Singapore,65,2,2,56193000.0,864504.0,Landed,5.382629267375023,8.656542775431056,9.912701483207941,9.64870900260377,0.04878694760886641,0.012995394796955061,Q4,2023
Woodlands / Yishun,Singapore,75,3,4,41010000.0,546804.0,Landed,11.498193929228712,7.165519824854167,9.394457242188704,9.855328170983759,0.02720265843504914,0.014157025142048836,Q2,2024
Novena / Toa Payoh,Singapore,75,2,3,92756000.0,1236751.0,Landed,6.65633709239612,7.981928960175179,9.342598516740734,9.436644870434094,0.01025954077293978,0.026282729899950293,Q1,2024
Orchard / Marina Bay,Singapore,75,1,1,140462000.0,1872826.0,Landed,20.70295877362147,7.789656188323941,9.250420728767391,9.354724733381094,0.03070897945278092,0.042435151458430576,Q3,2024
Bukit Timah,Singapore,65,1,1,76148000.0,1171508.0,HDB,21.479152636403867,7.026660708997755,9.209673035593408,9.776003992418424,0.012091690589405655,0.01606314940750708,Q3,2023
Novena / Toa Payoh,Singapore,105,3,4,96651000.0,920483.0,HDB,19.680687682034716,8.695821171126411,9.444959428871774,9.673329070780786,0.01253059562528959,0.046465777499577025,Q1,2024
Woodlands / Yishun,Singapore,140,3,2,73859000.0,527562.0,Condo,21.67807265567252,7.05345755598367,9.159365333175247,9.454398647124284,0.03117584310764769,0.04100612441882639,Q3,2024
